recording_id,audio_video,subject,month,start,end,is_subregion,is_top_3_hours,is_top_4_hours,is_surplus,position,subregion_rank,duration,region_id
audio_02_06,audio,02,06,30600000,37261470,FALSE,FALSE,FALSE,TRUE,NA,NA,01:51:01,audio_02_06_30600000_37261470
audio_02_07,audio,02,07,0,2100000,FALSE,FALSE,FALSE,TRUE,NA,NA,00:35:00,audio_02_07_0_2100000
audio_02_07,audio,02,07,2100000,5363670,TRUE,TRUE,TRUE,FALSE,1,3,00:54:23,audio_02_07_2100000_5363670
audio_02_07,audio,02,07,6332510,7500000,FALSE,FALSE,FALSE,TRUE,NA,NA,00:19:27,audio_02_07_6332510_7500000
audio_02_07,audio,02,07,7500000,11100000,TRUE,TRUE,TRUE,FALSE,2,2,01:00:00,audio_02_07_7500000_11100000
audio_02_07,audio,02,07,11100000,15000000,FALSE,FALSE,FALSE,TRUE,NA,NA,01:05:00,audio_02_07_11100000_15000000
audio_02_07,audio,02,07,15000000,17896720,TRUE,FALSE,TRUE,FALSE,3,4,00:48:16,audio_02_07_15000000_17896720
audio_02_07,audio,02,07,18112970,18301370,TRUE,FALSE,TRUE,FALSE,3,4,00:03:08,audio_02_07_18112970_18301370
audio_02_07,audio,02,07,23273750,29100000,FALSE,FALSE,FALSE,TRUE,NA,NA,01:37:06,audio_02_07_23273750_29100000
audio_02_07,audio,02,07,29100000,32700000,TRUE,TRUE,TRUE,FALSE,5,1,01:00:00,audio_02_07_29100000_32700000
audio_02_07,audio,02,07,32700000,32724450,FALSE,FALSE,FALSE,TRUE,NA,NA,00:00:24,audio_02_07_32700000_32724450
audio_02_07,audio,02,07,33728410,33882740,FALSE,FALSE,FALSE,TRUE,NA,NA,00:02:34,audio_02_07_33728410_33882740
audio_02_07,audio,02,07,34075970,39062760,FALSE,FALSE,FALSE,TRUE,NA,NA,01:23:06,audio_02_07_34075970_39062760
audio_02_07,audio,02,07,39911790,40505110,FALSE,FALSE,FALSE,TRUE,NA,NA,00:09:53,audio_02_07_39911790_40505110
audio_02_08,audio,02,08,2003320,3599340,FALSE,FALSE,FALSE,TRUE,NA,NA,00:26:36,audio_02_08_2003320_3599340
audio_02_08,audio,02,08,3600000,7200000,TRUE,TRUE,TRUE,FALSE,1,2,01:00:00,audio_02_08_3600000_7200000
audio_02_08,audio,02,08,14911510,16182760,FALSE,FALSE,FALSE,TRUE,NA,NA,00:21:11,audio_02_08_14911510_16182760
audio_02_08,audio,02,08,16200000,19800000,TRUE,FALSE,TRUE,FALSE,2,4,01:00:00,audio_02_08_16200000_19800000
audio_02_08,audio,02,08,29400000,33000000,TRUE,TRUE,TRUE,FALSE,3,1,01:00:00,audio_02_08_29400000_33000000
audio_02_08,audio,02,08,35100000,38700000,TRUE,TRUE,TRUE,FALSE,4,3,01:00:00,audio_02_08_35100000_38700000
audio_02_08,audio,02,08,39600470,41410060,FALSE,FALSE,FALSE,TRUE,NA,NA,00:30:09,audio_02_08_39600470_41410060
audio_02_09,audio,02,09,2700000,6300000,TRUE,TRUE,TRUE,FALSE,1,2,01:00:00,audio_02_09_2700000_6300000
audio_02_09,audio,02,09,14142070,15597290,FALSE,FALSE,FALSE,TRUE,NA,NA,00:24:15,audio_02_09_14142070_15597290
audio_02_09,audio,02,09,15600000,19200000,TRUE,FALSE,TRUE,FALSE,3,4,01:00:00,audio_02_09_15600000_19200000
audio_02_09,audio,02,09,20142510,21521020,FALSE,FALSE,FALSE,TRUE,NA,NA,00:22:58,audio_02_09_20142510_21521020
audio_02_09,audio,02,09,32700000,36300000,TRUE,TRUE,TRUE,FALSE,4,3,01:00:00,audio_02_09_32700000_36300000
audio_02_09,audio,02,09,36300000,39900000,TRUE,TRUE,TRUE,FALSE,5,1,01:00:00,audio_02_09_36300000_39900000
audio_02_09,audio,02,09,39900940,41451560,FALSE,FALSE,FALSE,TRUE,NA,NA,00:25:50,audio_02_09_39900940_41451560
audio_02_10,audio,02,10,900000,1140850,TRUE,TRUE,TRUE,FALSE,1,4,00:04:00,audio_02_10_900000_1140850
audio_02_10,audio,02,10,3298320,4500000,TRUE,TRUE,TRUE,FALSE,1,4,00:20:01,audio_02_10_3298320_4500000
audio_02_10,audio,02,10,4500390,5700420,FALSE,FALSE,TRUE,FALSE,NA,NA,00:20:00,audio_02_10_4500390_5700420
audio_02_10,audio,02,10,6600000,6625610,TRUE,TRUE,TRUE,FALSE,2,3,00:00:25,audio_02_10_6600000_6625610
audio_02_10,audio,02,10,7155960,9380520,TRUE,TRUE,TRUE,FALSE,2,3,00:37:04,audio_02_10_7155960_9380520
audio_02_10,audio,02,10,10033550,10200000,TRUE,TRUE,TRUE,FALSE,2,3,00:02:46,audio_02_10_10033550_10200000
audio_02_10,audio,02,10,30600000,33213150,TRUE,TRUE,TRUE,FALSE,3,1,00:43:33,audio_02_10_30600000_33213150
audio_02_10,audio,02,10,33699310,33976660,TRUE,TRUE,TRUE,FALSE,3,1,00:04:37,audio_02_10_33699310_33976660
audio_02_10,audio,02,10,34175150,34200000,TRUE,TRUE,TRUE,FALSE,3,1,00:00:24,audio_02_10_34175150_34200000
audio_02_10,audio,02,10,35700000,39300000,TRUE,TRUE,TRUE,FALSE,4,2,01:00:00,audio_02_10_35700000_39300000
audio_02_10,audio,02,10,39902080,41812230,FALSE,FALSE,TRUE,FALSE,NA,NA,00:31:50,audio_02_10_39902080_41812230
audio_02_10,audio,02,10,42577710,43503610,FALSE,FALSE,TRUE,FALSE,NA,NA,00:15:25,audio_02_10_42577710_43503610
audio_02_11,audio,02,11,3600000,7200000,TRUE,TRUE,TRUE,FALSE,1,1,01:00:00,audio_02_11_3600000_7200000
audio_02_11,audio,02,11,21920480,23148340,FALSE,FALSE,TRUE,FALSE,NA,NA,00:20:27,audio_02_11_21920480_23148340
audio_02_11,audio,02,11,29100000,30192660,TRUE,TRUE,TRUE,FALSE,3,4,00:18:12,audio_02_11_29100000_30192660
audio_02_11,audio,02,11,30192660,32689010,TRUE,FALSE,TRUE,FALSE,3,4,00:41:36,audio_02_11_30192660_32689010
audio_02_11,audio,02,11,37200000,39174080,TRUE,TRUE,TRUE,FALSE,4,2,00:32:54,audio_02_11_37200000_39174080
audio_02_11,audio,02,11,39239980,39260820,TRUE,TRUE,TRUE,FALSE,4,2,00:00:20,audio_02_11_39239980_39260820
audio_02_11,audio,02,11,39462390,40227770,TRUE,TRUE,TRUE,FALSE,4,2,00:12:45,audio_02_11_39462390_40227770
