recording_id,audio_video,subject,month,start_dt,end_dt,start_ms,end_ms,sub_recording_id
audio_21_09,audio,21,09,1920-01-01 12:23:20,1920-01-01 12:23:24,0,4920,audio_21_09_0
audio_21_09,audio,21,09,1920-01-06 05:33:13,1920-01-06 19:41:33,4920,50905800,audio_21_09_4920
audio_21_10,audio,21,10,1920-01-01 06:50:23,1920-01-01 18:30:00,0,41977430,audio_21_10_0
audio_21_11,audio,21,11,1920-01-01 06:36:21,1920-01-01 13:39:44,0,25403350,audio_21_11_0
audio_21_11,audio,21,11,1920-01-01 16:12:13,1920-01-01 19:34:48,25403350,37558430,audio_21_11_25403350
audio_21_12,audio,21,12,1920-01-01 11:02:54,1920-01-01 19:30:28,0,30454860,audio_21_12_0
audio_21_13,audio,21,13,1920-01-01 09:00:24,1920-01-01 19:12:39,0,36735990,audio_21_13_0
audio_21_14,audio,21,14,1920-01-01 09:10:31,1920-01-01 11:34:41,0,8650290,audio_21_14_0
audio_21_14,audio,21,14,1920-01-01 16:24:41,1920-01-01 19:30:51,8650290,19820360,audio_21_14_8650290
audio_21_15,audio,21,15,1920-01-01 07:35:23,1920-01-01 20:07:26,0,45123800,audio_21_15_0
audio_21_16,audio,21,16,1920-01-01 07:25:45,1920-01-01 18:56:34,0,41449550,audio_21_16_0
